Date,Mkt_Prem,SMB,HML,RMW,CMA,RF
2020-01-02,0.86,-0.97,-0.34,0.24,-0.22,0.006
2020-01-03,-0.67,0.3,0.01,-0.14,-0.1,0.006
2020-01-06,0.36,-0.21,-0.55,-0.17,-0.26,0.006
2020-01-07,-0.19,-0.03,-0.25,-0.13,-0.25,0.006
2020-01-08,0.47,-0.17,-0.64,-0.2,-0.17,0.006
2020-01-09,0.65,-0.71,-0.49,-0.14,0.04,0.006
2020-01-10,-0.34,-0.27,-0.33,0.04,-0.08,0.006
2020-01-13,0.73,-0.1,-0.08,0.34,0.27,0.006
2020-01-14,-0.06,0.47,-0.18,-0.33,-0.06,0.006
2020-01-15,0.16,0.27,-0.81,-0.08,-0.18,0.006
2020-01-16,0.88,0.52,-0.11,0.03,-0.1,0.006
2020-01-17,0.28,-0.63,-0.13,0.23,0,0.006
2020-01-21,-0.32,-0.67,-0.61,-0.11,-0.25,0.006
2020-01-22,0.08,-0.24,0.01,-0.27,0.01,0.006
2020-01-23,0.08,-0.06,-0.13,0.28,-0.07,0.006
2020-01-24,-0.97,-0.5,-0.29,0.16,-0.03,0.006
2020-01-27,-1.56,0.26,-0.41,-0.53,0.03,0.006
2020-01-28,1.02,-0.13,-0.42,0.17,-0.05,0.006
2020-01-29,-0.1,-0.42,-0.97,0.25,0.08,0.006
2020-01-30,0.34,-0.64,0.68,-0.45,-0.24,0.006
2020-01-31,-1.74,-0.5,-0.35,-0.44,-0.66,0.006
2020-02-03,0.84,0.36,-0.68,-0.68,-0.42,0.006
2020-02-04,1.57,-0.14,-0.68,0.38,-0.17,0.006
2020-02-05,0.97,0.74,1.46,0.96,0.67,0.006
2020-02-06,0.27,-0.59,-0.83,-0.04,-0.4,0.006
2020-02-07,-0.55,-0.84,-0.03,-0.23,-0.57,0.006
2020-02-10,0.73,-0.17,-0.88,-0.12,-0.51,0.006
2020-02-11,0.28,0.34,1.04,0.24,0.33,0.006
2020-02-12,0.66,0.15,-0.35,0.21,0.06,0.006
2020-02-13,-0.09,0.16,0,-0.11,-0.4,0.006
2020-02-14,0.15,-0.56,-0.66,-0.23,-0.31,0.006
2020-02-18,-0.19,0,-0.64,-0.42,-0.68,0.006
2020-02-19,0.6,0.19,0.03,0.18,-0.24,0.006
2020-02-20,-0.35,0.63,0.66,0.17,-0.05,0.006
2020-02-21,-1.12,-0.07,0.02,-0.23,0.38,0.006
2020-02-24,-3.39,0.15,0.01,-0.35,0.22,0.006
2020-02-25,-3.09,-0.35,-0.68,-0.62,-0.05,0.006
2020-02-26,-0.52,-0.74,-1.2,-0.47,-0.18,0.006
2020-02-27,-4.22,0.71,0.05,-0.41,0,0.006
2020-02-28,-0.78,0.09,-0.8,0.25,-0.51,0.006
2020-03-02,4.31,-1.91,-0.43,-0.52,0.42,0.006
2020-03-03,-2.79,0.68,-0.63,-0.44,0.33,0.006
2020-03-04,4.03,-1.23,-1.17,0.07,0.28,0.006
2020-03-05,-3.38,-0.15,-1.4,-0.88,0.05,0.006
2020-03-06,-1.78,-0.21,-1.49,0.69,0.35,0.006
2020-03-09,-7.78,-1.33,-4.76,0.08,0.47,0.006
2020-03-10,4.74,-2.39,0.79,0.52,0.07,0.006
2020-03-11,-5.05,-1.05,-0.82,0.04,0.1,0.006
2020-03-12,-9.63,-1.08,-1.17,-0.33,-0.14,0.006
2020-03-13,8.96,-2.05,2.99,1.21,0.37,0.006
2020-03-16,-12,-0.83,-0.75,0.48,1.38,0.006
2020-03-17,5.88,0.44,-0.68,-0.52,-0.2,0.006
2020-03-18,-5.56,-4.55,-4.7,0.12,0.06,0.006
2020-03-19,1.31,5.71,0.85,-1.38,-1.7,0.006
2020-03-20,-4.15,0.23,-0.88,-0.99,-1.13,0.006
2020-03-23,-2.55,1.71,-3.29,0.3,-1.05,0.006
2020-03-24,9.34,-0.28,2.39,0.47,0.16,0.006
2020-03-25,1.18,-0.19,1.93,-0.07,0.23,0.006
2020-03-26,6.02,-0.51,1.09,-0.61,-0.02,0.006
2020-03-27,-3.48,-1.1,-0.76,-1.11,0.78,0.006
2020-03-30,3.16,-0.78,-2.11,-0.27,-0.13,0.006
2020-03-31,-1.44,1.52,-0.39,0.41,-0.05,0.006
2020-04-01,-4.51,-2,-1.42,0.23,0.23,0
